iter	Logloss
0	0.6893505942
1	0.6865166116
2	0.6838192217
3	0.6809291871
4	0.6776850114
5	0.6755666231
6	0.6730605355
7	0.6702778352
8	0.6676474243
9	0.6652102479
10	0.6630822839
11	0.6611368686
12	0.6586998605
13	0.6564847582
14	0.654750027
15	0.6535906163
16	0.6518870767
17	0.6506689424
18	0.6488658165
19	0.6470115743
20	0.6457290571
21	0.6442308992
22	0.6424422379
23	0.6410958207
24	0.6399419214
25	0.6383791166
26	0.6366161975
27	0.6357909665
28	0.6341866324
29	0.6328453836
30	0.6314069442
31	0.6305487976
32	0.6294416545
33	0.6277804996
34	0.6267611531
35	0.625779115
36	0.624759158
37	0.6236453617
38	0.6223989084
39	0.6214297473
40	0.6200092925
41	0.6189981254
42	0.6179224517
43	0.6167830156
44	0.6159000988
45	0.6148564129
46	0.6138455876
47	0.6128217372
48	0.6120293151
49	0.611041049
50	0.6101376139
51	0.6090675519
52	0.6080613514
53	0.6074581468
54	0.6064181858
55	0.6054898418
56	0.6044980356
57	0.6034476748
58	0.6027062555
59	0.6018740632
60	0.601113449
61	0.6001300203
62	0.5990957602
63	0.5983325062
64	0.5973603948
65	0.5965546587
66	0.5956458203
67	0.5947088602
68	0.5939165851
69	0.5933100087
70	0.5925866766
71	0.5920195819
72	0.5914277039
73	0.5904217215
74	0.5895520164
75	0.5888256986
76	0.5879888552
77	0.5873111078
78	0.5865312126
79	0.5860465056
80	0.585440407
81	0.5847256813
82	0.584117602
83	0.5835286109
84	0.5827955139
85	0.5821338114
86	0.5816221247
87	0.5810597607
88	0.5804756021
89	0.5798891342
90	0.5790928126
91	0.5783662824
92	0.577867558
93	0.5774110458
94	0.5769217166
95	0.5763198351
96	0.5755999196
97	0.5749533958
98	0.5741918472
99	0.5737658808
100	0.5733145509
101	0.5728655113
102	0.5723213096
103	0.5718890781
104	0.5713882759
105	0.5708903806
106	0.570390781
107	0.5699055183
108	0.5696005322
109	0.5692785572
110	0.56878581
111	0.5682370151
112	0.5677728179
113	0.5671171708
114	0.56675988
115	0.5660842007
116	0.5655450796
117	0.5650016807
118	0.5646031711
119	0.5642253212
120	0.5637934882
121	0.5633799052
122	0.5630014795
123	0.5627066523
124	0.5622168988
125	0.5617046551
126	0.5612085551
127	0.5606709881
128	0.560039432
129	0.5594623724
130	0.5590945566
131	0.5586504258
132	0.5581066157
133	0.5576248051
134	0.5573241529
135	0.5568385903
136	0.5564654604
137	0.5561318167
