iter	Passed	Remaining
0	11	58102
1	20	51882
2	29	49955
3	38	48463
4	47	47761
5	56	47061
6	65	46695
7	74	46550
8	83	46301
9	92	46081
10	101	45920
11	110	45813
12	119	45745
13	128	45650
14	137	45557
15	147	45800
16	155	45666
17	164	45496
18	173	45427
19	182	45331
20	190	45213
21	199	45164
22	208	45091
23	217	45049
24	227	45280
25	237	45505
26	247	45571
27	256	45527
28	266	45610
29	274	45554
30	289	46329
31	297	46254
32	306	46146
33	315	46145
34	324	46061
35	333	45990
36	342	45882
37	350	45776
38	359	45722
39	368	45632
40	376	45570
41	386	45573
42	394	45487
43	403	45452
44	412	45415
45	421	45346
46	430	45375
47	440	45414
48	448	45363
49	458	45375
50	467	45339
51	476	45318
52	485	45276
53	493	45232
54	502	45177
55	511	45137
56	520	45111
57	529	45090
58	537	45045
59	546	45020
60	555	44966
61	564	44934
62	573	44930
63	582	44892
64	590	44862
65	599	44834
66	608	44789
67	618	44850
68	627	44826
69	636	44839
70	646	44874
71	655	44876
72	664	44873
73	673	44826
74	682	44794
75	690	44767
76	699	44736
77	710	44846
78	719	44832
79	728	44797
80	737	44766
81	746	44760
82	755	44735
83	763	44701
84	774	44770
85	782	44736
86	792	44728
87	801	44732
88	810	44709
89	819	44712
90	828	44692
91	839	44793
92	849	44843
93	859	44859
94	868	44852
95	879	44950
96	888	44925
97	898	44962
98	907	44944
99	917	44961
100	942	45712
101	951	45706
102	960	45682
103	969	45648
104	978	45628
105	987	45609
106	997	45596
107	1006	45569
108	1014	45538
109	1024	45539
110	1034	45572
111	1044	45582
112	1053	45553
113	1063	45575
114	1073	45616
115	1083	45598
116	1091	45574
117	1101	45566
118	1110	45559
119	1119	45524
120	1129	45540
121	1138	45523
122	1147	45502
123	1156	45488
124	1166	45486
125	1175	45463
126	1184	45448
127	1193	45425
128	1202	45387
129	1211	45373
130	1220	45345
131	1229	45356
132	1239	45346
133	1249	45368
134	1258	45369
135	1267	45333
136	1277	45357
137	1286	45341
138	1297	45363
139	1306	45346
140	1315	45332
141	1325	45350
142	1334	45330
143	1343	45311
144	1352	45283
145	1362	45302
146	1372	45302
147	1381	45287
148	1390	45275
149	1400	45269
150	1409	45255
151	1418	45241
152	1427	45225
153	1437	45237
154	1446	45225
155	1455	45202
156	1464	45183
157	1473	45158
158	1482	45135
159	1491	45123
160	1500	45108
161	1510	45106
162	1519	45094
163	1528	45063
164	1536	45034
165	1545	45009
166	1554	44992
167	1563	44965
168	1571	44928
169	1580	44902
170	1589	44879
171	1598	44857
172	1607	44863
173	1616	44838
174	1625	44824
175	1634	44809
176	1644	44806
177	1653	44788
178	1662	44784
179	1672	44780
180	1682	44783
181	1690	44755
182	1699	44746
183	1708	44717
184	1717	44700
185	1726	44681
186	1735	44675
187	1744	44663
188	1754	44653
189	1763	44637
190	1772	44627
191	1781	44610
192	1790	44590
193	1799	44567
194	1807	44548
195	1816	44529
196	1825	44515
197	1834	44494
198	1843	44485
199	1853	44478
200	1863	44483
201	1872	44465
202	1881	44455
203	1890	44442
204	1899	44420
205	1908	44405
206	1917	44387
207	1927	44399
208	1936	44380
209	1944	44359
210	1953	44339
211	1962	44322
212	1970	44294
213	1980	44287
214	1989	44272
215	2000	44311
216	2009	44293
217	2018	44273
218	2027	44257
219	2036	44243
220	2045	44225
221	2054	44211
222	2064	44226
223	2073	44206
224	2082	44187
225	2091	44182
226	2101	44189
227	2110	44181
228	2119	44162
229	2128	44140
230	2137	44133
231	2146	44111
232	2156	44118
233	2165	44098
234	2174	44085
235	2182	44066
236	2192	44060
237	2201	44045
238	2211	44058
239	2221	44065
240	2230	44054
241	2240	44052
242	2249	44035
243	2258	44022
244	2267	44014
245	2277	44014
246	2287	44022
247	2298	44039
248	2307	44027
249	2316	44016
250	2325	44003
251	2334	43985
252	2343	43967
253	2352	43950
254	2360	43932
255	2369	43911
256	2378	43888
257	2390	43938
258	2399	43925
259	2408	43906
260	2417	43899
261	2426	43878
262	2436	43879
263	2445	43863
264	2454	43865
265	2464	43855
266	2473	43843
267	2482	43833
268	2491	43817
269	2500	43805
270	2510	43811
271	2519	43791
272	2527	43772
273	2537	43761
274	2546	43753
275	2555	43733
276	2564	43718
277	2574	43721
278	2583	43709
279	2591	43689
280	2600	43674
281	2609	43655
282	2618	43645
283	2627	43626
284	2636	43621
285	2646	43614
286	2655	43609
287	2665	43602
288	2673	43587
289	2682	43572
290	2691	43556
291	2700	43539
292	2709	43523
293	2718	43521
294	2729	43530
295	2738	43514
296	2747	43502
297	2755	43484
298	2765	43473
299	2773	43459
300	2782	43441
301	2791	43429
302	2800	43412
303	2809	43400
304	2820	43414
305	2829	43406
306	2839	43399
307	2849	43410
308	2858	43397
309	2867	43389
310	2877	43381
311	2886	43374
312	2895	43356
313	2903	43336
314	2912	43323
315	2922	43319
316	2931	43304
317	2940	43289
318	2948	43270
319	2957	43253
320	2967	43255
321	2976	43236
322	2985	43231
323	2995	43237
324	3004	43225
325	3013	43209
326	3022	43190
327	3030	43168
328	3039	43154
329	3048	43143
330	3058	43137
331	3067	43135
332	3077	43127
333	3086	43124
334	3095	43110
335	3105	43101
336	3114	43090
337	3123	43079
338	3132	43062
339	3140	43049
340	3149	43037
341	3158	43022
342	3167	43008
343	3176	42997
344	3185	42985
345	3194	42970
346	3203	42960
347	3212	42949
348	3222	42941
349	3231	42926
350	3239	42911
351	3248	42896
352	3258	42895
353	3268	42890
354	3276	42875
355	3286	42867
356	3295	42857
357	3304	42843
358	3312	42824
359	3321	42808
360	3330	42800
361	3339	42784
362	3348	42772
363	3357	42759
364	3366	42744
365	3374	42727
366	3383	42712
367	3392	42705
368	3401	42692
369	3410	42675
370	3419	42662
371	3427	42646
372	3439	42661
373	3448	42652
374	3457	42641
375	3466	42628
376	3476	42633
377	3485	42623
378	3494	42609
379	3503	42599
380	3514	42606
381	3523	42597
382	3532	42582
383	3541	42570
384	3550	42560
385	3559	42548
386	3568	42536
387	3577	42520
388	3586	42510
389	3595	42495
390	3605	42498
391	3615	42500
392	3624	42484
393	3633	42472
394	3642	42461
395	3652	42459
396	3661	42453
397	3671	42448
398	3681	42450
399	3690	42438
400	3699	42431
401	3708	42419
402	3718	42412
403	3726	42397
404	3735	42386
405	3745	42378
406	3754	42366
407	3762	42350
408	3771	42335
409	3780	42320
410	3790	42324
411	3800	42318
412	3809	42305
413	3818	42294
414	3826	42278
415	3835	42266
416	3844	42252
417	3853	42245
418	3863	42242
419	3872	42231
420	3881	42222
421	3891	42212
422	3900	42204
423	3909	42192
424	3918	42176
425	3926	42164
426	3937	42166
427	3946	42157
428	3955	42142
429	3963	42125
430	3972	42114
431	3981	42098
432	3991	42097
433	4000	42085
434	4009	42071
435	4017	42058
436	4026	42043
437	4035	42031
438	4044	42017
439	4052	42001
440	4061	41991
441	4070	41980
442	4079	41968
443	4088	41956
444	4098	41946
445	4106	41929
446	4116	41933
447	4126	41927
448	4135	41915
449	4144	41908
450	4153	41896
451	4162	41883
452	4171	41869
453	4180	41857
454	4188	41843
455	4198	41832
456	4206	41821
457	4215	41808
458	4225	41799
459	4233	41784
460	4242	41772
461	4251	41760
462	4261	41755
463	4269	41742
464	4279	41734
465	4288	41721
466	4296	41708
467	4305	41696
468	4314	41683
469	4324	41677
470	4333	41667
471	4342	41660
472	4351	41650
473	4361	41644
474	4371	41648
475	4380	41635
476	4390	41634
477	4399	41623
478	4409	41619
479	4418	41609
480	4427	41599
481	4438	41599
482	4448	41597
483	4457	41591
484	4467	41591
485	4477	41584
486	4486	41573
487	4495	41563
488	4505	41562
489	4514	41554
490	4523	41543
491	4533	41538
492	4542	41529
493	4552	41521
494	4560	41508
495	4570	41501
496	4581	41505
497	4589	41492
498	4599	41485
499	4608	41474
500	4617	41464
501	4626	41455
502	4637	41456
503	4647	41461
504	4656	41451
505	4667	41452
506	4677	41450
507	4689	41465
508	4698	41457
509	4708	41451
510	4717	41441
511	4726	41433
512	4735	41422
513	4744	41411
514	4754	41401
515	4763	41394
516	4772	41384
517	4782	41376
518	4790	41364
519	4800	41358
520	4810	41353
521	4820	41353
522	4829	41344
523	4838	41331
524	4847	41321
525	4856	41309
526	4867	41310
527	4876	41302
528	4885	41293
529	4894	41284
530	4904	41274
531	4913	41264
532	4922	41251
533	4930	41238
534	4939	41222
535	4948	41210
536	4956	41195
537	4966	41187
538	4975	41175
539	4983	41161
540	4992	41150
541	5001	41137
542	5010	41124
543	5018	41110
544	5027	41099
545	5036	41085
546	5045	41075
547	5054	41061
548	5063	41049
549	5072	41040
550	5081	41028
551	5089	41014
552	5099	41011
553	5110	41009
554	5118	40997
555	5127	40986
556	5137	40977
557	5146	40965
558	5154	40952
559	5163	40940
560	5172	40926
561	5181	40913
562	5189	40901
563	5198	40891
564	5208	40884
565	5217	40875
566	5226	40864
567	5235	40855
568	5245	40848
569	5256	40854
570	5265	40845
571	5275	40836
572	5284	40827
573	5293	40816
574	5302	40807
575	5311	40794
576	5320	40781
577	5328	40769
578	5338	40759
579	5347	40748
580	5356	40742
581	5365	40732
582	5375	40722
583	5384	40713
584	5394	40713
585	5403	40699
586	5412	40687
587	5421	40676
588	5430	40665
589	5438	40653
590	5447	40639
591	5456	40627
592	5468	40641
593	5477	40631
594	5486	40619
595	5495	40606
596	5504	40595
597	5512	40580
598	5522	40578
599	5533	40575
600	5541	40564
601	5550	40550
602	5559	40537
603	5568	40527
604	5577	40515
605	5586	40503
606	5594	40489
607	5603	40477
608	5612	40465
609	5621	40453
610	5631	40451
611	5640	40439
612	5649	40431
613	5658	40419
614	5668	40418
615	5677	40406
616	5686	40394
617	5695	40383
618	5704	40370
619	5712	40356
620	5721	40346
621	5730	40335
622	5739	40322
623	5748	40310
624	5756	40297
625	5765	40283
626	5774	40271
627	5782	40259
628	5791	40247
629	5800	40234
630	5808	40220
631	5817	40209
632	5826	40198
633	5835	40186
634	5844	40174
635	5853	40164
636	5862	40156
637	5871	40144
638	5880	40134
639	5889	40122
640	5898	40109
641	5906	40097
642	5916	40091
643	5926	40085
644	5935	40074
645	5943	40062
646	5953	40051
647	5961	40039
648	5970	40027
649	5980	40024
650	5989	40012
651	5998	39999
652	6007	39990
653	6016	39983
654	6025	39971
655	6034	39958
656	6043	39946
657	6052	39936
658	6060	39924
659	6070	39915
660	6079	39906
661	6089	39902
662	6098	39894
663	6107	39884
664	6116	39875
665	6127	39873
666	6136	39863
667	6145	39855
668	6154	39843
669	6163	39832
670	6172	39820
671	6181	39809
672	6190	39798
673	6198	39786
674	6207	39774
675	6216	39761
676	6225	39754
677	6235	39746
678	6243	39735
679	6253	39728
680	6262	39717
681	6271	39709
682	6280	39699
683	6291	39698
684	6300	39691
685	6309	39679
686	6318	39669
687	6327	39659
688	6336	39647
689	6345	39633
690	6353	39621
691	6362	39608
692	6371	39596
693	6379	39584
694	6388	39572
695	6397	39560
696	6406	39553
697	6416	39545
698	6424	39533
699	6433	39520
700	6442	39509
701	6452	39504
702	6461	39495
703	6470	39487
704	6480	39480
705	6489	39468
706	6497	39456
707	6506	39445
708	6515	39434
709	6524	39421
710	6533	39413
711	6542	39401
712	6551	39389
713	6559	39376
714	6568	39365
715	6577	39355
716	6586	39342
717	6594	39330
718	6603	39318
719	6612	39309
720	6622	39304
721	6636	39324
722	6669	39455
723	6678	39444
724	6687	39435
725	6696	39424
726	6705	39412
727	6715	39408
728	6725	39402
729	6734	39393
730	6744	39386
731	6753	39378
732	6763	39370
733	6772	39358
734	6781	39351
735	6790	39342
736	6800	39333
737	6809	39324
738	6818	39316
739	6828	39310
740	6839	39310
741	6848	39300
742	6858	39293
743	6867	39283
744	6876	39275
745	6885	39266
746	6895	39256
747	6904	39249
748	6914	39241
749	6923	39232
750	6932	39222
751	6941	39213
752	6951	39205
753	6961	39202
754	6971	39195
755	6981	39191
756	6991	39189
757	7001	39184
758	7012	39182
759	7021	39172
760	7031	39169
761	7041	39164
762	7051	39157
763	7061	39149
764	7070	39142
765	7079	39133
766	7090	39129
767	7099	39123
768	7109	39117
769	7119	39108
770	7128	39102
771	7138	39093
772	7147	39085
773	7157	39081
774	7167	39073
775	7177	39068
776	7187	39064
777	7197	39056
778	7206	39048
779	7216	39041
780	7226	39036
781	7235	39028
782	7245	39019
783	7254	39009
784	7263	39002
785	7272	38991
786	7282	38983
787	7291	38975
788	7300	38965
789	7311	38961
790	7319	38949
791	7328	38937
792	7337	38926
793	7346	38914
794	7355	38903
795	7363	38891
796	7372	38880
797	7381	38868
798	7390	38857
799	7399	38846
800	7407	38833
801	7416	38822
802	7425	38811
803	7434	38801
804	7443	38789
805	7452	38776
806	7460	38763
807	7469	38754
808	7478	38742
809	7487	38732
810	7497	38724
811	7506	38713
812	7515	38705
813	7524	38693
814	7534	38687
815	7543	38676
816	7552	38667
817	7560	38654
818	7570	38644
819	7578	38633
820	7587	38621
821	7596	38610
822	7605	38599
823	7615	38593
824	7624	38583
825	7633	38572
826	7641	38561
827	7650	38549
828	7659	38537
829	7668	38525
830	7676	38513
831	7685	38502
832	7694	38492
833	7704	38484
834	7713	38475
835	7722	38462
836	7731	38451
837	7740	38441
838	7749	38433
839	7758	38421
840	7767	38410
841	7775	38398
842	7784	38386
843	7793	38377
844	7803	38369
845	7812	38361
846	7821	38349
847	7830	38339
848	7839	38329
849	7848	38318
850	7857	38307
851	7866	38297
852	7875	38288
853	7884	38277
854	7893	38265
855	7902	38259
856	7912	38249
857	7921	38238
858	7931	38233
859	7940	38223
860	7949	38212
861	7958	38202
862	7967	38194
863	7976	38183
864	7985	38173
865	7994	38162
866	8003	38151
867	8011	38139
868	8020	38127
869	8029	38116
870	8038	38104
871	8047	38096
872	8058	38093
873	8066	38081
874	8075	38071
875	8084	38059
876	8093	38049
877	8102	38039
878	8111	38029
879	8120	38018
880	8128	38005
881	8138	37997
882	8147	37987
883	8156	37976
884	8164	37964
885	8173	37954
886	8182	37944
887	8193	37940
888	8203	37935
889	8212	37923
890	8220	37912
891	8229	37900
892	8238	37888
893	8246	37875
894	8255	37862
895	8263	37851
896	8272	37839
897	8281	37828
898	8289	37816
899	8299	37807
900	8308	37796
901	8317	37786
902	8325	37774
903	8335	37765
904	8343	37754
905	8352	37743
906	8361	37732
907	8370	37721
908	8378	37710
909	8387	37699
910	8396	37688
911	8406	37679
912	8414	37667
913	8423	37656
914	8432	37644
915	8440	37633
916	8449	37622
917	8458	37613
918	8468	37604
919	8477	37596
920	8487	37591
921	8496	37582
922	8506	37574
923	8515	37565
924	8524	37554
925	8533	37544
926	8542	37534
927	8551	37524
928	8560	37514
929	8569	37504
930	8579	37495
931	8587	37484
932	8598	37480
933	8607	37471
934	8616	37459
935	8624	37447
936	8633	37436
937	8642	37426
938	8651	37416
939	8660	37405
940	8669	37393
941	8677	37382
942	8686	37371
943	8695	37360
944	8704	37350
945	8713	37341
946	8722	37331
947	8731	37321
948	8740	37309
949	8751	37307
950	8759	37296
951	8768	37284
952	8777	37275
953	8786	37263
954	8795	37254
955	8804	37243
956	8813	37233
957	8822	37221
958	8831	37212
959	8839	37201
960	8848	37191
961	8858	37183
962	8867	37172
963	8875	37160
964	8885	37152
965	8894	37143
966	8903	37132
967	8912	37123
968	8921	37115
969	8931	37105
970	8939	37094
971	8948	37083
972	8957	37073
973	8966	37062
974	8975	37052
975	8984	37040
976	8993	37030
977	9002	37021
978	9011	37011
